"subjectID","age","target","domain","parcellation","beta","hemisphere","region","process","label"
"s017",13,"self","social","102",-2.52292655447873,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s017",13,"other","academic","102",1.17491729806061,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s017",13,"other","social","102",-1.3347942458937,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",13,"self","academic","102",-0.321120837351792,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",13,"self","social","102",1.62942405321393,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",13,"other","academic","102",2.14044663496488,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",13,"other","social","102",1.64996338902843,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",16,"self","academic","102",-4.0563035388217,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",16,"self","social","102",1.87979080537909,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",16,"other","academic","102",0.907023446207773,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s018",16,"other","social","102",-0.233046621067089,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",10,"self","academic","102",-0.629755365898985,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",10,"self","social","102",1.25950092098872,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",10,"other","academic","102",-0.916503515211405,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",10,"other","social","102",0.884614071667981,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",13,"self","academic","102",-0.0677526925352455,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",13,"self","social","102",0.165052979698858,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",13,"other","academic","102",4.49434739412881,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",13,"other","social","102",-0.893941321076653,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",16,"self","academic","102",-0.827707764545726,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",16,"self","social","102",-0.858806786766634,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",16,"other","academic","102",0.114975158625833,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s019",16,"other","social","102",-2.06960727738821,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",10,"self","academic","102",1.29978363577668,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",10,"self","social","102",1.13644105281433,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",10,"other","academic","102",-1.03561317967308,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",10,"other","social","102",1.16424930884939,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",13,"self","academic","102",1.32799280590623,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",13,"self","social","102",-5.06364225326379,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",13,"other","academic","102",1.96787738673821,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s020",13,"other","social","102",-0.190035895120598,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",10,"self","academic","102",-2.03521011553765,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",10,"self","social","102",0.829718758334967,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",10,"other","academic","102",-0.833058907825355,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",10,"other","social","102",-0.217830305544375,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",13,"self","academic","102",0.45204991408649,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",13,"self","social","102",0.337835458045481,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",13,"other","academic","102",-1.2039893739868,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",13,"other","social","102",1.88428377595049,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",16,"self","academic","102",-0.00531626190764721,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",16,"self","social","102",-1.05508641510586,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",16,"other","academic","102",0.615704624753876,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s022",16,"other","social","102",-2.04108689607917,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",10,"self","academic","102",-2.01903635704608,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",10,"self","social","102",3.05267106557661,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",10,"other","academic","102",-0.987858025917196,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",10,"other","social","102",-0.125735998806334,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",13,"self","academic","102",-0.918487591533343,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",13,"self","social","102",-1.86770284836326,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",13,"other","academic","102",-1.63783984764512,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",13,"other","social","102",-1.03168535059104,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",16,"self","academic","102",0.527381561155755,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",16,"self","social","102",1.20867586072977,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",16,"other","academic","102",0.677597250614727,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s023",16,"other","social","102",-5.44088919779503,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",10,"self","academic","102",2.2200346461494,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",10,"self","social","102",4.54882195911959,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",10,"other","academic","102",-1.45030665933307,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",10,"other","social","102",-0.24987949574081,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",13,"self","academic","102",-2.64639056582336,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",13,"self","social","102",0.81064170876856,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",13,"other","academic","102",1.36466537610574,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",13,"other","social","102",2.25346304294851,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",16,"self","academic","102",1.2813463762539,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",16,"self","social","102",-1.51090888849955,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",16,"other","academic","102",-2.426877406439,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s024",16,"other","social","102",0.169233378392895,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s027",10,"self","academic","102",0.944136117628784,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s027",10,"self","social","102",0.921348540132369,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s027",10,"other","academic","102",-0.403541074141128,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s027",10,"other","social","102",0.72397311317288,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s028",10,"self","academic","102",-0.853699292007273,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s028",10,"self","social","102",-6.19083135213229,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s028",10,"other","academic","102",-0.86535033905516,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s028",10,"other","social","102",2.91707576038061,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",10,"self","academic","102",-2.96482912743301,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",10,"self","social","102",1.31009694193282,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",10,"other","academic","102",-3.35810132920662,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",10,"other","social","102",1.77817359587003,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",13,"self","academic","102",1.43091195008101,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",13,"self","social","102",-1.35900733873801,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",13,"other","academic","102",1.01008272716344,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",13,"other","social","102",-1.98168936032369,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",16,"self","academic","102",1.39520844618165,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",16,"self","social","102",-1.47564249654877,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",16,"other","academic","102",0.395434200587944,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s029",16,"other","social","102",-0.167944050160816,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",10,"self","academic","102",1.57693712194906,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",10,"self","social","102",-1.17530094422915,"left","rmPFC_BA10","other","left_rmPFC_BA10"
